"decimalLongitude","decimalLatitude","N"
-100.746367,20.394394,4
-101.133978,21.187173,3
-96.734063,17.113783,3
-99.065628,19.278023,31
-99.804641,20.686997,1
-99.182934,19.282906,16
-109.940529,23.647538,2
-99.948838,20.746086,24
-101.690859,19.559413,70
-105.264902,23.850509,90
-98.183799,19.056643,3
-99.105377,19.180613,6
-96.499855,17.432814,4
-92.69165,16.785478,5
-100.73223,20.918091,36
-96.193199,15.738331,202
-103.111861,22.726141,2
-96.359832,16.825245,83
-96.608974,17.180469,8
-92.642847,16.74358,4
-97.24691,19.748305,44
-99.13776,19.259252,19
-99.494368,18.921837,9
-100.704592,20.87303,8
-96.570561,17.002942,16
-92.635582,16.757106,9
-97.980859,19.872179,4
-96.49607,17.336147,18
-103.619163,19.637551,172
-98.280773,19.188137,29
-98.047341,20.036513,1
-99.197077,19.296247,1
-99.095146,19.294859,56
-97.931781,19.938088,3
-96.707986,17.176943,60
-99.193502,19.318469,12
-105.543251,23.770578,3
-116.679536,31.988277,8
-99.179045,19.378217,23
-92.538357,16.662465,24
-108.632126,29.697597,3
-92.677059,16.76255,38
-104.730191,21.215668,122
-104.03512,20.727057,4
-99.187102,19.297838,8
-92.105979,16.146448,44
-99.230747,19.231537,7
-99.743071,19.198837,37
-99.096379,19.309159,10
-97.571578,16.88116,3
-105.76561,23.66322,31
-92.649679,16.730105,18
-102.255249,21.744831,4
-98.123703,19.044543,3
-98.044052,19.282223,1
-99.195492,19.317911,41
-99.496651,19.759918,47
-100.708923,20.815495,10
-99.193651,19.319424,5
-101.833543,22.02854,6
-99.301686,19.363381,7
-96.854221,17.050436,33
-96.513348,17.074508,64
-99.103257,19.283011,45
-99.2753,19.286355,5
-99.100134,19.303084,6
-99.197595,19.411797,1
-96.765924,17.051087,33
-100.25798,19.39152,11
-99.096465,19.311184,7
-99.198046,19.108717,32
-99.275508,19.30122,2
-92.608007,16.697126,68
-100.75427,20.914007,295
-98.216259,19.330446,75
-92.537697,16.674686,54
-100.301056,20.318615,6
-104.34955,24.047375,43
